LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.23073183678505962
Amygdala;DICE;STD;0.025897078424297906
Amygdala;HDRFDST;MEAN;36.67341537396965
Amygdala;HDRFDST;STD;2.5808147566780653
GreyMatter;DICE;MEAN;0.6898986332434551
GreyMatter;DICE;STD;0.012489655947577578
GreyMatter;HDRFDST;MEAN;18.16083996565889
GreyMatter;HDRFDST;STD;1.81215113655755
Hippocampus;DICE;MEAN;0.17149410137965432
Hippocampus;DICE;STD;0.013869168997712874
Hippocampus;HDRFDST;MEAN;71.95331868178434
Hippocampus;HDRFDST;STD;6.420274969001197
Thalamus;DICE;MEAN;0.4460567810576623
Thalamus;DICE;STD;0.08518158918033689
Thalamus;HDRFDST;MEAN;46.0607669615266
Thalamus;HDRFDST;STD;1.9250316662173685
WhiteMatter;DICE;MEAN;0.8076998278345393
WhiteMatter;DICE;STD;0.02445214537091126
WhiteMatter;HDRFDST;MEAN;18.38335831870366
WhiteMatter;HDRFDST;STD;2.012992033304928
