LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4645563970656464
Amygdala;DICE;STD;0.0571467017031873
Amygdala;HDRFDST;MEAN;27.30872366654624
Amygdala;HDRFDST;STD;4.07843250578174
GreyMatter;DICE;MEAN;0.7359501017055741
GreyMatter;DICE;STD;0.010079529288855856
GreyMatter;HDRFDST;MEAN;18.65986535760177
GreyMatter;HDRFDST;STD;1.552232210776932
Hippocampus;DICE;MEAN;0.4336824531994745
Hippocampus;DICE;STD;0.05485095400200114
Hippocampus;HDRFDST;MEAN;42.03879121159229
Hippocampus;HDRFDST;STD;9.845812991731565
Thalamus;DICE;MEAN;0.6790572054648651
Thalamus;DICE;STD;0.10944947819288053
Thalamus;HDRFDST;MEAN;48.32650749505059
Thalamus;HDRFDST;STD;12.56776325886269
WhiteMatter;DICE;MEAN;0.8325035948695764
WhiteMatter;DICE;STD;0.020698326375457956
WhiteMatter;HDRFDST;MEAN;20.891972571096424
WhiteMatter;HDRFDST;STD;2.173817400002739
