LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.19707729529929296
Amygdala;DICE;STD;0.20226698523038691
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.3523568104966569
GreyMatter;DICE;STD;0.3524508971492176
GreyMatter;HDRFDST;MEAN;62.21117998232296
GreyMatter;HDRFDST;STD;59.25933753601215
Hippocampus;DICE;MEAN;0.14145251192065092
Hippocampus;DICE;STD;0.14429916143301286
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.3074553347294376
Thalamus;DICE;STD;0.31560799449539506
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.40011486537638463
WhiteMatter;DICE;STD;0.3980622063170038
WhiteMatter;HDRFDST;MEAN;26.10036470481463
WhiteMatter;HDRFDST;STD;21.79726960597741
