LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.38836001907942824
Amygdala;DICE;STD;0.05730306145436337
Amygdala;HDRFDST;MEAN;16.742100720290317
Amygdala;HDRFDST;STD;1.9240747053205403
GreyMatter;DICE;MEAN;0.7053626541365837
GreyMatter;DICE;STD;0.014247115129174448
GreyMatter;HDRFDST;MEAN;2.939144243842693
GreyMatter;HDRFDST;STD;1.0776971345820523
Hippocampus;DICE;MEAN;0.2712950752206641
Hippocampus;DICE;STD;0.04155535416539726
Hippocampus;HDRFDST;MEAN;22.9281998191771
Hippocampus;HDRFDST;STD;4.72203907775944
Thalamus;DICE;MEAN;0.612116008453405
Thalamus;DICE;STD;0.09653846978796189
Thalamus;HDRFDST;MEAN;10.681214025531421
Thalamus;HDRFDST;STD;2.193551216815064
WhiteMatter;DICE;MEAN;0.79831326908193
WhiteMatter;DICE;STD;0.027335569149303792
WhiteMatter;HDRFDST;MEAN;4.783307700883986
WhiteMatter;HDRFDST;STD;0.34636316008481727
