LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.0
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;inf
GreyMatter;HDRFDST;STD;nan
Hippocampus;DICE;MEAN;0.0
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.003771354755028108
Thalamus;DICE;STD;0.0002747230776004239
Thalamus;HDRFDST;MEAN;156.88307930894663
Thalamus;HDRFDST;STD;2.5689349043440197
WhiteMatter;DICE;MEAN;0.0
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;inf
WhiteMatter;HDRFDST;STD;nan
