LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4600771085603439
Amygdala;DICE;STD;0.05727877365634918
Amygdala;HDRFDST;MEAN;43.16657804258988
Amygdala;HDRFDST;STD;12.31042404196528
GreyMatter;DICE;MEAN;0.739173313463459
GreyMatter;DICE;STD;0.010141976215835721
GreyMatter;HDRFDST;MEAN;18.605235961293083
GreyMatter;HDRFDST;STD;1.3947024143546647
Hippocampus;DICE;MEAN;0.4320701441407036
Hippocampus;DICE;STD;0.05144509015904335
Hippocampus;HDRFDST;MEAN;63.678173457811965
Hippocampus;HDRFDST;STD;9.13729856559429
Thalamus;DICE;MEAN;0.6799751975817564
Thalamus;DICE;STD;0.10671171840560661
Thalamus;HDRFDST;MEAN;51.117169742615374
Thalamus;HDRFDST;STD;7.418554947201444
WhiteMatter;DICE;MEAN;0.8280082360128335
WhiteMatter;DICE;STD;0.021493451621289517
WhiteMatter;HDRFDST;MEAN;21.034640700071968
WhiteMatter;HDRFDST;STD;3.2930063192887804
