LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.7240376487490828
Amygdala;DICE;STD;0.06273772158690759
Amygdala;HDRFDST;MEAN;5.6796364123104075
Amygdala;HDRFDST;STD;4.630521593077583
GreyMatter;DICE;MEAN;0.5295421676059668
GreyMatter;DICE;STD;0.017655728729263288
GreyMatter;HDRFDST;MEAN;12.698361893953805
GreyMatter;HDRFDST;STD;1.9625506898375626
Hippocampus;DICE;MEAN;0.7126478166287769
Hippocampus;DICE;STD;0.040325136008856
Hippocampus;HDRFDST;MEAN;6.786977138393269
Hippocampus;HDRFDST;STD;4.2469920323597385
Thalamus;DICE;MEAN;0.8571132729613247
Thalamus;DICE;STD;0.024820315153961686
Thalamus;HDRFDST;MEAN;8.801718434535802
Thalamus;HDRFDST;STD;12.511185099707886
WhiteMatter;DICE;MEAN;0.7024149072576631
WhiteMatter;DICE;STD;0.01819231372813773
WhiteMatter;HDRFDST;MEAN;12.793046265236852
WhiteMatter;HDRFDST;STD;1.6546804088733993
