LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.43371933891796993
Amygdala;DICE;STD;0.03887701628461835
Amygdala;HDRFDST;MEAN;7.720564085066387
Amygdala;HDRFDST;STD;5.233821759324923
GreyMatter;DICE;MEAN;0.18006383812966317
GreyMatter;DICE;STD;0.016003881536636372
GreyMatter;HDRFDST;MEAN;50.634085872098474
GreyMatter;HDRFDST;STD;1.2997491669385912
Hippocampus;DICE;MEAN;0.37547417829981955
Hippocampus;DICE;STD;0.028853596611083755
Hippocampus;HDRFDST;MEAN;13.376094428895948
Hippocampus;HDRFDST;STD;2.297846345876681
Thalamus;DICE;MEAN;0.7447011182019612
Thalamus;DICE;STD;0.01200588713822929
Thalamus;HDRFDST;MEAN;10.257879037559356
Thalamus;HDRFDST;STD;12.592693026148154
WhiteMatter;DICE;MEAN;0.4818747571226276
WhiteMatter;DICE;STD;0.015276153293206555
WhiteMatter;HDRFDST;MEAN;23.15870531316342
WhiteMatter;HDRFDST;STD;1.3320541348069854
