LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.19563592722656678
Amygdala;DICE;STD;0.19708228981269107
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.19500116990972877
GreyMatter;DICE;STD;0.19448438022298062
GreyMatter;HDRFDST;MEAN;60.355118913360755
GreyMatter;HDRFDST;STD;55.217837887353774
Hippocampus;DICE;MEAN;0.12159008540624319
Hippocampus;DICE;STD;0.12234317644251255
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.3116910719190285
Thalamus;DICE;STD;0.30820143728384
Thalamus;HDRFDST;MEAN;21.81215081617473
Thalamus;HDRFDST;STD;10.432165488164387
WhiteMatter;DICE;MEAN;0.3379845812687851
WhiteMatter;DICE;STD;0.320068189579356
WhiteMatter;HDRFDST;MEAN;24.415505987700246
WhiteMatter;HDRFDST;STD;19.32829706323279

# 85 estimators / depth 10
