LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4858860790552601
Amygdala;DICE;STD;0.05556333255120595
Amygdala;HDRFDST;MEAN;28.476824963856075
Amygdala;HDRFDST;STD;7.447848009855166
GreyMatter;DICE;MEAN;0.7340686936648951
GreyMatter;DICE;STD;0.00996856756903968
GreyMatter;HDRFDST;MEAN;17.620512132395426
GreyMatter;HDRFDST;STD;1.979280725947086
Hippocampus;DICE;MEAN;0.4198914358057926
Hippocampus;DICE;STD;0.05080688763382818
Hippocampus;HDRFDST;MEAN;50.87984276273924
Hippocampus;HDRFDST;STD;8.248733262685386
Thalamus;DICE;MEAN;0.6937457921834692
Thalamus;DICE;STD;0.11011904893039308
Thalamus;HDRFDST;MEAN;40.311485785751714
Thalamus;HDRFDST;STD;8.383562115541213
WhiteMatter;DICE;MEAN;0.8299965846192526
WhiteMatter;DICE;STD;0.021566502181308386
WhiteMatter;HDRFDST;MEAN;19.719794023693844
WhiteMatter;HDRFDST;STD;2.670154239569041
