LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.2290007957437798
Amygdala;DICE;STD;0.02794777894919134
Amygdala;HDRFDST;MEAN;37.2016778532101
Amygdala;HDRFDST;STD;2.9043355360524297
GreyMatter;DICE;MEAN;0.6842314826157351
GreyMatter;DICE;STD;0.012141442578942806
GreyMatter;HDRFDST;MEAN;17.649193851075548
GreyMatter;HDRFDST;STD;2.0014885478455877
Hippocampus;DICE;MEAN;0.17418712518202137
Hippocampus;DICE;STD;0.014347337329327069
Hippocampus;HDRFDST;MEAN;50.942630197132885
Hippocampus;HDRFDST;STD;3.7213476857401906
Thalamus;DICE;MEAN;0.4508616654323331
Thalamus;DICE;STD;0.09514619451788515
Thalamus;HDRFDST;MEAN;46.00330164672363
Thalamus;HDRFDST;STD;1.9225601682536013
WhiteMatter;DICE;MEAN;0.8099634298171464
WhiteMatter;DICE;STD;0.022897612173577286
WhiteMatter;HDRFDST;MEAN;20.4224791820201
WhiteMatter;HDRFDST;STD;2.5144271832677307
