LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4538517682821711
Amygdala;DICE;STD;0.059044383834339846
Amygdala;HDRFDST;MEAN;74.7041513772397
Amygdala;HDRFDST;STD;19.377558334487304
GreyMatter;DICE;MEAN;0.735022571068799
GreyMatter;DICE;STD;0.01027021680284482
GreyMatter;HDRFDST;MEAN;18.544368327608474
GreyMatter;HDRFDST;STD;1.485396691120523
Hippocampus;DICE;MEAN;0.43587231814271965
Hippocampus;DICE;STD;0.05023162425615192
Hippocampus;HDRFDST;MEAN;68.97833201287173
Hippocampus;HDRFDST;STD;3.53407876568056
Thalamus;DICE;MEAN;0.6880529725564413
Thalamus;DICE;STD;0.10928199998174928
Thalamus;HDRFDST;MEAN;47.495919444147624
Thalamus;HDRFDST;STD;13.3655391269877
WhiteMatter;DICE;MEAN;0.8307298429572219
WhiteMatter;DICE;STD;0.022201392096323033
WhiteMatter;HDRFDST;MEAN;20.187712049259293
WhiteMatter;HDRFDST;STD;3.72240274771431
