LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.6889915946064477
Amygdala;DICE;STD;0.04381927681362695
Amygdala;HDRFDST;MEAN;5.736907162049323
Amygdala;HDRFDST;STD;4.515295805816844
GreyMatter;DICE;MEAN;0.5526230974110256
GreyMatter;DICE;STD;0.01591625813288342
GreyMatter;HDRFDST;MEAN;11.523305591272038
GreyMatter;HDRFDST;STD;2.7773059338428285
Hippocampus;DICE;MEAN;0.6823142532530417
Hippocampus;DICE;STD;0.03840239860666696
Hippocampus;HDRFDST;MEAN;7.221707640790913
Hippocampus;HDRFDST;STD;3.879038379668616
Thalamus;DICE;MEAN;0.8211868885922357
Thalamus;DICE;STD;0.023197537179584178
Thalamus;HDRFDST;MEAN;9.532155426337567
Thalamus;HDRFDST;STD;11.930549565218833
WhiteMatter;DICE;MEAN;0.67175557981988
WhiteMatter;DICE;STD;0.014747650946248783
WhiteMatter;HDRFDST;MEAN;13.949713230841459
WhiteMatter;HDRFDST;STD;1.7336380179514712
