LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.711105750196576
Amygdala;DICE;STD;0.06581639404593125
Amygdala;HDRFDST;MEAN;5.935839667016782
Amygdala;HDRFDST;STD;4.875018712525122
GreyMatter;DICE;MEAN;0.4625144206087123
GreyMatter;DICE;STD;0.0209549637611948
GreyMatter;HDRFDST;MEAN;13.427557546088005
GreyMatter;HDRFDST;STD;1.6433801588479409
Hippocampus;DICE;MEAN;0.6986997084371005
Hippocampus;DICE;STD;0.043161741405432295
Hippocampus;HDRFDST;MEAN;7.247753597701191
Hippocampus;HDRFDST;STD;4.008748905457844
Thalamus;DICE;MEAN;0.8591395845960864
Thalamus;DICE;STD;0.023907913416053684
Thalamus;HDRFDST;MEAN;8.63828152960138
Thalamus;HDRFDST;STD;12.746767912508162
WhiteMatter;DICE;MEAN;0.6950381211137013
WhiteMatter;DICE;STD;0.015130790800050599
WhiteMatter;HDRFDST;MEAN;14.348220125101458
WhiteMatter;HDRFDST;STD;1.1952318777682645
