LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.719334503574457
Amygdala;DICE;STD;0.0546359978296465
Amygdala;HDRFDST;MEAN;5.429276935401738
Amygdala;HDRFDST;STD;4.65004859745731
GreyMatter;DICE;MEAN;0.5574683847101802
GreyMatter;DICE;STD;0.016048568174984915
GreyMatter;HDRFDST;MEAN;11.962177233542176
GreyMatter;HDRFDST;STD;2.450778617771347
Hippocampus;DICE;MEAN;0.7089664754962552
Hippocampus;DICE;STD;0.038356037718134395
Hippocampus;HDRFDST;MEAN;6.803521665638193
Hippocampus;HDRFDST;STD;4.172780002012053
Thalamus;DICE;MEAN;0.8449493682302511
Thalamus;DICE;STD;0.024698288402572332
Thalamus;HDRFDST;MEAN;9.095246138689099
Thalamus;HDRFDST;STD;12.331930006153176
WhiteMatter;DICE;MEAN;0.6936721302426443
WhiteMatter;DICE;STD;0.018814102995347436
WhiteMatter;HDRFDST;MEAN;12.664618861950714
WhiteMatter;HDRFDST;STD;2.0266793238009284
