LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.22784971334719978
Amygdala;DICE;STD;0.2301076310618892
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.35454393066258916
GreyMatter;DICE;STD;0.35434573920756485
GreyMatter;HDRFDST;MEAN;57.07225719959145
GreyMatter;HDRFDST;STD;54.08980918938134
Hippocampus;DICE;MEAN;0.15231601722717436
Hippocampus;DICE;STD;0.15267770761900212
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.3533276268863009
Thalamus;DICE;STD;0.3520082604727611
Thalamus;HDRFDST;MEAN;13.558436644473588
Thalamus;HDRFDST;STD;3.8818546801491425
WhiteMatter;DICE;MEAN;0.40424489811610265
WhiteMatter;DICE;STD;0.39770961390799264
WhiteMatter;HDRFDST;MEAN;25.00967921571013
WhiteMatter;HDRFDST;STD;20.39401739548333
