LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.43710794278115844
Amygdala;DICE;STD;0.05537609328068585
Amygdala;HDRFDST;MEAN;46.759816423137636
Amygdala;HDRFDST;STD;18.69276780133076
GreyMatter;DICE;MEAN;0.7335182221547434
GreyMatter;DICE;STD;0.011144860628355721
GreyMatter;HDRFDST;MEAN;18.564280213993896
GreyMatter;HDRFDST;STD;1.538668299639278
Hippocampus;DICE;MEAN;0.4053871306385403
Hippocampus;DICE;STD;0.046626872563365174
Hippocampus;HDRFDST;MEAN;61.62871173182761
Hippocampus;HDRFDST;STD;12.409749807119205
Thalamus;DICE;MEAN;0.6686559861265978
Thalamus;DICE;STD;0.10802840513535826
Thalamus;HDRFDST;MEAN;42.2798849470407
Thalamus;HDRFDST;STD;6.761015372338722
WhiteMatter;DICE;MEAN;0.8273703993077828
WhiteMatter;DICE;STD;0.023221571550231353
WhiteMatter;HDRFDST;MEAN;22.022318554941467
WhiteMatter;HDRFDST;STD;3.1012070979992425
