LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.14743539838790715
Amygdala;DICE;STD;0.021598720648236112
Amygdala;HDRFDST;MEAN;11.547635662936472
Amygdala;HDRFDST;STD;4.307216107426897
GreyMatter;DICE;MEAN;0.08381994006936302
GreyMatter;DICE;STD;0.006810618839682574
GreyMatter;HDRFDST;MEAN;71.54811136948058
GreyMatter;HDRFDST;STD;8.152776181179238
Hippocampus;DICE;MEAN;0.07166592913059631
Hippocampus;DICE;STD;0.00897771679109408
Hippocampus;HDRFDST;MEAN;31.507837840205205
Hippocampus;HDRFDST;STD;2.3358413121042445
Thalamus;DICE;MEAN;0.5865261965648798
Thalamus;DICE;STD;0.016281541057216704
Thalamus;HDRFDST;MEAN;11.546355561698968
Thalamus;HDRFDST;STD;12.287459999642858
WhiteMatter;DICE;MEAN;0.3027902334326237
WhiteMatter;DICE;STD;0.013348710083891303
WhiteMatter;HDRFDST;MEAN;27.588428315373456
WhiteMatter;HDRFDST;STD;2.7710328557236985
