LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.2229880291620805
Amygdala;DICE;STD;0.02712960223816625
Amygdala;HDRFDST;MEAN;37.542728832306494
Amygdala;HDRFDST;STD;2.9399850040268256
GreyMatter;DICE;MEAN;0.6905323991508492
GreyMatter;DICE;STD;0.011224914248387103
GreyMatter;HDRFDST;MEAN;20.4610801926158
GreyMatter;HDRFDST;STD;1.2822625906363652
Hippocampus;DICE;MEAN;0.16333615262707962
Hippocampus;DICE;STD;0.013440627621860162
Hippocampus;HDRFDST;MEAN;60.46498637979282
Hippocampus;HDRFDST;STD;8.549001233563398
Thalamus;DICE;MEAN;0.4545466530461445
Thalamus;DICE;STD;0.09498416454830214
Thalamus;HDRFDST;MEAN;46.392143427096585
Thalamus;HDRFDST;STD;1.9669845550232827
WhiteMatter;DICE;MEAN;0.8087428894628939
WhiteMatter;DICE;STD;0.023668892872381296
WhiteMatter;HDRFDST;MEAN;22.953531896044993
WhiteMatter;HDRFDST;STD;2.575921873280571
