LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.6708611596679571
GreyMatter;DICE;STD;0.015562487155189294
GreyMatter;HDRFDST;MEAN;19.630228841763607
GreyMatter;HDRFDST;STD;1.0742977334017627
Hippocampus;DICE;MEAN;0.0
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.0
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.7842514735039219
WhiteMatter;DICE;STD;0.04723627934834433
WhiteMatter;HDRFDST;MEAN;23.37840225046876
WhiteMatter;HDRFDST;STD;2.7295252728775354
