LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.25718075052417183
Amygdala;DICE;STD;0.02321772898980066
Amygdala;HDRFDST;MEAN;36.67341537396965
Amygdala;HDRFDST;STD;2.5808147566780653
GreyMatter;DICE;MEAN;0.6969116119311816
GreyMatter;DICE;STD;0.011606364861739667
GreyMatter;HDRFDST;MEAN;18.725604533126365
GreyMatter;HDRFDST;STD;1.432387820723597
Hippocampus;DICE;MEAN;0.228083814512022
Hippocampus;DICE;STD;0.0357096579809049
Hippocampus;HDRFDST;MEAN;64.33026153764115
Hippocampus;HDRFDST;STD;10.835933300767826
Thalamus;DICE;MEAN;0.44791078250843
Thalamus;DICE;STD;0.09155336292072491
Thalamus;HDRFDST;MEAN;46.224988613998406
Thalamus;HDRFDST;STD;1.9622506556805666
WhiteMatter;DICE;MEAN;0.8093666921930343
WhiteMatter;DICE;STD;0.02321873824549212
WhiteMatter;HDRFDST;MEAN;18.372937154048966
WhiteMatter;HDRFDST;STD;2.057955376913476
