LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.18931002708205544
Amygdala;DICE;STD;0.1909764226912481
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.1961656705680686
GreyMatter;DICE;STD;0.19590098079527535
GreyMatter;HDRFDST;MEAN;60.47098994860316
GreyMatter;HDRFDST;STD;55.419846396719066
Hippocampus;DICE;MEAN;0.11754769729142409
Hippocampus;DICE;STD;0.11813305503082955
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.3317852780375553
Thalamus;DICE;STD;0.329096223732933
Thalamus;HDRFDST;MEAN;20.10003504478749
Thalamus;HDRFDST;STD;8.147919439851798
WhiteMatter;DICE;MEAN;0.3361085131745601
WhiteMatter;DICE;STD;0.31661156139527685
WhiteMatter;HDRFDST;MEAN;24.53533681887505
WhiteMatter;HDRFDST;STD;19.966653379681695

# 30 estimators / depth 10
