LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5588885382028805
Amygdala;DICE;STD;0.049270845988196366
Amygdala;HDRFDST;MEAN;7.100614798826966
Amygdala;HDRFDST;STD;5.106982423964223
GreyMatter;DICE;MEAN;0.24326555425538393
GreyMatter;DICE;STD;0.02174802957711596
GreyMatter;HDRFDST;MEAN;35.667204532500676
GreyMatter;HDRFDST;STD;1.910633621802898
Hippocampus;DICE;MEAN;0.5246864675428171
Hippocampus;DICE;STD;0.035672360090391986
Hippocampus;HDRFDST;MEAN;10.155573979878984
Hippocampus;HDRFDST;STD;3.14075104699575
Thalamus;DICE;MEAN;0.8022599808477777
Thalamus;DICE;STD;0.013594120550668805
Thalamus;HDRFDST;MEAN;9.441163737956902
Thalamus;HDRFDST;STD;12.773583180654036
WhiteMatter;DICE;MEAN;0.5714909817305956
WhiteMatter;DICE;STD;0.01362551574959424
WhiteMatter;HDRFDST;MEAN;20.939554580408547
WhiteMatter;HDRFDST;STD;1.238972951315452
